Name;Sport;Date;Start time;Duration;Total distance (km);Average heart rate (bpm);Average speed (km/h);Max speed (km/h);Average pace (min/km);Max pace (min/km);Calories;Fat percentage of calories(%);Average cadence (rpm);Average stride length (cm);Running index;Training load;Ascent (m);Descent (m);Average power (W);Max power (W);Notes;Height (cm);Weight (kg);HR max;HR sit;VO2max
Hiit Dt2a;JOGGING;07/10/2021;09:23:29;00:38:05;;117;0.0;;00:00;;349;34;;;;;;;;;;180.0;120.0;193;;37
Sample rate;Time;HR (bpm);Speed (km/h);Pace (min/km);Cadence;Altitude (m);Stride length (m);Distances (m);Temperatures (C);Power (W);;;;;;;;;;;;;;;;
0;00:00:00;116;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
1;00:00:01;116;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
2;00:00:02;116;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
3;00:00:03;116;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
4;00:00:04;117;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
5;00:00:05;116;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
6;00:00:06;115;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
7;00:00:07;115;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
8;00:00:08;113;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
9;00:00:09;111;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
10;00:00:10;110;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
11;00:00:11;107;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
12;00:00:12;106;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
13;00:00:13;104;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
14;00:00:14;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
15;00:00:15;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
16;00:00:16;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
17;00:00:17;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
18;00:00:18;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
19;00:00:19;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
20;00:00:20;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
21;00:00:21;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
22;00:00:22;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
23;00:00:23;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
24;00:00:24;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
25;00:00:25;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
26;00:00:26;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
27;00:00:27;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
28;00:00:28;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
29;00:00:29;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
30;00:00:30;104;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
31;00:00:31;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
32;00:00:32;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
33;00:00:33;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
34;00:00:34;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
35;00:00:35;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
36;00:00:36;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
37;00:00:37;97;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
38;00:00:38;96;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
39;00:00:39;96;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
40;00:00:40;95;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
41;00:00:41;96;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
42;00:00:42;96;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
